공공데이터ID,공공데이터명,호출URL,항목ID,항목명,항목타입,요청인자여부
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,SIGUN_CD,시군코드,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,SIGUN_NM,시군명,TEXT,Y
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,SIGNGU_NM,시군구명,TEXT,Y
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,KIDGARTN_TYPE_NM,어린이집유형명,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,ADMDONG_NM,행정동명,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,KIDGARTN_NM,어린이집명,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,REFINE_ROADNM_ADDR,소재지도로명주소,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,REFINE_LOTNO_ADDR,소재지지번주소,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,REFINE_WGS84_LAT,위도,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,REFINE_WGS84_LOGT,경도,TEXT,N
KE22KP2IJFD15YD0W4BU29615963,0세아 전용 어린이집 현황,https://openapi.gg.go.kr/Age0PrvuuseKidgartn,KIDGARTN_TELNO,어린이집전화번호,TEXT,N
