일자,Unnamed: 1,일수,시간,주제,세부 내용,강사
2021-11-15,월,1,8.0,인공지능 이해,인공지능 개론,윤재성
2021-11-16,화,2,8.0,Java,Java 개발환경 구축 및 Java Overview,황승준
2021-11-17,수,3,8.0,Java,"변수, 데이터타입",황승준
2021-11-18,목,4,8.0,Java,"연산자, 제어문",황승준
2021-11-19,금,5,8.0,Java,배열,황승준
2021-11-20,토,6,8.0,Java,클래스 설계 및 객체 생성 활용,황승준
2021-11-22,월,공강,,자율학습 공강,,
2021-11-23,화,7,8.0,Java,"생성자, OOP(Encapsulation)",황승준
2021-11-24,수,8,8.0,Java,"OOP(Inheritance, Polymorphism)",황승준
2021-11-25,목,9,8.0,Java,"추상클래스, 인터페이스",황승준
2021-11-26,금,10,8.0,Java,주요 API 활용,황승준
2021-11-27,토,11,8.0,Java,Collection & Generic,황승준
2021-11-29,월,12,8.0,Java,"예외처리, 입출력",황승준
2021-11-30,화,13,8.0,MySQL,"DBMS 설치, Select 기본",황승준
2021-12-01,수,14,8.0,MySQL,"DDL, DML",황승준
2021-12-02,목,15,8.0,MySQL,Functions,황승준
2021-12-03,금,16,8.0,MySQL,"Sub Query, Join",황승준
2021-12-04,토,17,8.0,MySQL,JDBC를 이용한 Java Pattern Program,황승준
2021-12-06,월,18,8.0,WebUI - HTML,"Web 개발환경 구축, HTML TAG",박철
2021-12-07,화,19,8.0,WebUI - CSS,CSS 주요 Selectors,박철
2021-12-08,수,20,8.0,WebUI - JavaScript,JavaScript Baisc,박철
2021-12-09,목,21,8.0,WebUI - JavaScript,Function & Event Handling,박철
2021-12-10,금,22,8.0,WebUI - JavaScript,"JavaScript 객체, DOM",박철
2021-12-11,토,,,,멘토링,
2021-12-13,월,23,8.0,Mini Project,,황승준
2021-12-14,화,24,8.0,Mini Project,,황승준
2021-12-15,수,공강,,자율학습 공강,,
2021-12-16,목,공강,,자율학습 공강,,
2021-12-17,금,25,8.0,Spring Boot,"Web Architecture, Web Application & Web Container",황승준
2021-12-18,토,,,,멘토링,
2021-12-20,월,26,8.0,Spring Boot,Servlet & JSP,황승준
2021-12-21,화,27,8.0,Spring Boot,Spring Framework,황승준
2021-12-22,수,28,8.0,Spring Boot,Spring Framework,황승준
2021-12-23,목,29,8.0,Spring Boot,Spring Framework,황승준
2021-12-24,금,30,8.0,Spring Boot,Spring Boot Starter Project,황승준
2021-12-26,일,,,,멘토링,
2021-12-27,월,31,8.0,Spring Boot,Spring Boot Web MVC,황승준
2021-12-28,화,32,8.0,Spring Boot,Spring Boot Web MVC,황승준
2021-12-29,수,33,8.0,Spring Boot,Spring Boot Web MVC,황승준
2021-12-30,목,34,8.0,Spring Boot,Spring Boot Data,황승준
2021-12-31,금,35,8.0,Spring Boot,"예외처리 및 테스트, 배포",황승준
2022-01-03,월,36,8.0,Spring Boot,Spring Boot Actuator,황승준
2022-01-04,화,37,8.0,Spring Boot,Spring Boot Security,황승준
2022-01-05,수,38,8.0,Mini Project,,황승준
2022-01-06,목,39,8.0,Mini Project,,황승준
2022-01-07,금,40,8.0,Mini Project,,황승준
2022-01-08,토,,,,멘토링,
2022-01-10,월,41,8.0,Mini Project,,황승준
2022-01-11,화,42,8.0,Mini Project,,황승준
2022-01-12,수,43,8.0,Mini Project,,황승준
2022-01-13,목,44,8.0,Mini Project,,황승준
2022-01-14,금,45,8.0,Mini Project,,황승준
2022-01-15,토,,,,멘토링,
2022-01-17,월,46,8.0,Mini Project,,황승준
2022-01-18,화,47,8.0,Mini Project,,황승준
2022-01-19,수,48,8.0,Python,파이썬 개요,신미영
