SIGUN_NM,SIGUN_CD,JURISD_AM_GUN_AM_GUN_NM,JURISD_EMD_NM,CNSTRCT_LOCPLC_ADDR,CNSTRCT_BIZNES_INFO,IMPLMTN_BIZNES_INFO,PRVATE_PUBL_DIV_NM,RENT_LOTOUT_DIV_NM,SCALE_ACCTO_AR,TOT_LOTOUT_HSHLD_CNT,LOTOUT_SUBSCRPT_DE,MOVEIN_PREARNGE_DE,COMPLTN_YN_DIV_NM,RM,MT_HSHLD_CNT
의정부시,41150,,의정부동,경기도 의정부시 의정부동 20-1(리버시티),㈜유현C&A,㈜약수,민간,분양,70.05,16,2021-09,2021-09,준공,,12
의정부시,41150,,의정부동,경기도 의정부시 의정부동 20-1(리버시티),㈜유현C&A,㈜약수,민간,분양,70.05,1,2021-09,2021-09,준공,,1
화성시,41590,,반송동,경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,㈜동양건설산업,우**외3인,민간,분양,159.35,42,2021-06,2021-11,준공,,1
화성시,41590,,반송동,경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,㈜동양건설산업,우**외3인,민간,분양,170.97,46,2021-06,2021-11,준공,,6
화성시,41590,,반송동,경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,㈜동양건설산업,우**외3인,민간,분양,173.99,66,2021-06,2021-11,준공,,8
화성시,41590,,반송동,경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,㈜동양건설산업,우**외3인,민간,분양,192.74,42,2021-06,2021-11,준공,,9
화성시,41590,,반송동,경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,㈜동양건설산업,우**외3인,민간,분양,201.35,70,2021-06,2021-11,준공,,6
화성시,41590,,새솔동,경기도 화성시  새솔동 송산그린시티 EAA10BL 모아미래도,㈜모아종합건설,㈜미래도건설,민간,분양,84.99,315,2021-03,2021-06,준공,,1
화성시,41590,,새솔동,경기도 화성시  새솔동 송산그린시티 EAA10BL 모아미래도,㈜모아종합건설,㈜미래도건설,민간,분양,99.99,76,2021-03,2021-06,준공,,1
화성시,41590,,오산동,경기도 화성시 오산동 동탄2택지개발지구 업무복합3BL,㈜유림E&C,㈜하나자산신탁,민간,분양,84.5,132,2021-08,2021-12,미준공,,6
화성시,41590,,오산동,경기도 화성시 오산동 동탄2택지개발지구 업무복합3BL,㈜유림E&C,㈜하나자산신탁,민간,분양,84.61,44,2021-08,2021-12,미준공,,1
화성시,41590,,송산면,경기도 화성시 송산면 화성 사강 영도엘리시아,주영종합건설㈜,영도아이비 대표자 최강식,민간,분양,57.5,51,2021-07,2021-04,준공,,3
화성시,41590,,송산면,경기도 화성시 송산면 화성 사강 영도엘리시아,주영종합건설㈜,영도아이비 대표자 최강식,민간,분양,59.81,34,2021-07,2021-04,준공,,3
화성시,41590,,송산면,경기도 화성시 송산면 화성 사강 영도엘리시아,주영종합건설㈜,영도아이비 대표자 최강식,민간,분양,55.16,34,2021-07,2021-04,준공,,4
화성시,41590,,남양읍,경기도 화성시 남양동 371-24번지 일원,㈜서희건설,화성신남지역주택조합,민간,분양,84.0,184,2021-12,2021-08,미준공,,1
화성시,41590,,향남읍,경기도 화성시 향남읍 상신지구 A1-1블럭,(주)한양,코리아신탁(주),민간,분양,61.0,63,2021-02,2021-02,미준공,,5
화성시,41590,,향남읍,경기도 화성시 향남읍 상신지구 A1-1블럭,(주)한양,코리아신탁(주),민간,분양,84.0,97,2021-02,2021-02,미준공,,6
화성시,41590,,향남읍,경기도 화성시 향남읍 상신지구 A1-1블럭,(주)한양,코리아신탁(주),민간,분양,84.0,10,2021-02,2021-02,미준공,,2
화성시,41590,,향남읍,경기도 화성시 향남읍 상신지구 A1-1블럭,(주)한양,코리아신탁(주),민간,분양,84.0,12,2021-02,2021-02,미준공,,5
화성시,41590,,봉담읍,경기도 화성시 봉담읍 상리 25-52,㈜대창기업,㈜한국토지신탁,민간,분양,13.31,176,2021-02,2021-02,준공,,58
화성시,41590,,봉담읍,경기도 화성시 봉담읍 상리 25-52,㈜대창기업,㈜한국토지신탁,민간,분양,13.25,16,2021-02,2021-02,준공,,1
화성시,41590,,봉담읍,경기도 화성시 봉담읍 상리 25-52,㈜대창기업,㈜한국토지신탁,민간,분양,13.2,16,2021-02,2021-02,준공,,3
화성시,41590,,봉담읍,경기도 화성시 봉담읍 상리 25-52,㈜대창기업,㈜한국토지신탁,민간,분양,13.91,48,2021-02,2021-02,준공,,34
화성시,41590,,봉담읍,경기도 화성시 봉담읍 상리 25-52,㈜대창기업,㈜한국토지신탁,민간,분양,13.78,16,2021-02,2021-02,준공,,16
파주시,41480,,문산읍,경기도 파주시 문산읍 당동리 947일원,㈜한양,㈜한국자산신탁,민간,분양,101.81,136,2021-06,2021-10,준공,,1
광주시,41610,,오포읍,경기도 광주시 오포읍 신현리 산131-53외 4필지 (신현1지구 2-2BL),대림산업㈜,케이비부동산신탁㈜,민간,분양,74.99,144,2021-03,2021-07,준공,,4
광주시,41610,,오포읍,경기도 광주시 오포읍 신현리 765-8외 15필지 (신현1지구 2-3BL),대림산업㈜,케이비부동산신탁㈜,민간,분양,84.98,443,2021-03,2021-07,준공,,3
광주시,41610,,오포읍,경기도 광주시 오포읍 신현리 765-8외 15필지 (신현1지구 2-3BL),대림산업㈜,케이비부동산신탁㈜,민간,분양,104.86,36,2021-03,2021-07,준공,,1
광주시,41610,,오포읍,경기도 광주시 오포읍 신현리 765-8외 15필지 (신현1지구 2-3BL),대림산업㈜,케이비부동산신탁㈜,민간,분양,171.93,1,2021-03,2021-07,준공,,1
광주시,41610,,초월읍,경기도 광주시 초월읍 쌍동리 252-7번지 (쌍동1지구 7BL),"㈜모아종합건설, ㈜미래도건선",대영건설산업㈜,민간,분양,74.98,110,2021-08,2021-07,준공,,1
광주시,41610,,초월읍,경기도 광주시 초월읍 쌍동리 252-7번지 (쌍동1지구 7BL),"㈜모아종합건설, ㈜미래도건선",대영건설산업㈜,민간,분양,74.98,58,2021-08,2021-07,준공,,2
광주시,41610,,초월읍,경기도 광주시 초월읍 쌍동리 252-7번지 (쌍동1지구 7BL),"㈜모아종합건설, ㈜미래도건선",대영건설산업㈜,민간,분양,85.0,146,2021-08,2021-07,준공,,2
광주시,41610,,초월읍,경기도 광주시 초월읍 쌍동리 252-7번지 (쌍동1지구 7BL),"㈜모아종합건설, ㈜미래도건선",대영건설산업㈜,민간,분양,84.92,171,2021-08,2021-07,준공,,1
이천시,41500,,안흥동,경기도 이천시 안흥동 226-2외 16필지 (롯데캐슬 페라즈 스카이),롯데건설㈜,아시아신탁㈜,민간,분양,142.15,3,2021-07,2021-04,미준공,,3
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,75.19,100,2021-11,2021-10,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,84.98,375,2021-11,2021-10,미준공,,2
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,84.95,266,2021-11,2021-10,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,84.95,266,2021-11,2021-10,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,106.36,194,2021-11,2021-10,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 946 [옥정지구A-4(2)BL],대방건설㈜,디비건설㈜,민간,분양,175.15,7,2021-11,2021-10,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 937 [옥정지구A-17(1)BL],디에스종합건설㈜/대성베르힐건설㈜,㈜양주옥정피에프브이/디에스종합건설㈜,민간,분양,84.74,257,2021-06,2021-11,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 937 [옥정지구A-17(1)BL],디에스종합건설㈜/대성베르힐건설㈜,㈜양주옥정피에프브이/디에스종합건설㈜,민간,분양,84.52,249,2021-06,2021-11,미준공,,1
양주시,41630,,옥정동,경기도 양주시 옥정동 옥정지구A-2BL,대방건설㈜,디비건설㈜,민간,분양,75.19,126,2021-08,2021-04,미준공,,1
