컬럼_ID,컬럼_명
STD_YY,기준년도
SCHOOL_KIND_NM,학교종류명
FOUND_DIV_NM,설립구분명
SCHOOL_NM,학교명
MJR_NM,학과명(전공)
DIV_NM,구분명
MJR_CHARTR_NM,학과특성명
MJR_STATE_NM,학과상태명
ERSTD_CNT,재적학생수(A)(명)
MASTER_SUM,석사합계(B)(명)
MASTER_NON_REGIST_CNT,석사미등록수(명)
MASTER_NON_GBSCHL_CNT,석사미복학수(명)
MASTER_LVSCHL_CNT,석사자퇴수(명)
MASTER_CLGRD_WARN_CNT,석사학사경고수(명)
MASTER_STDNT_ACT_CNT,석사학생활동수(명)
MASTER_FLK_EXPL_CNT,석사유급제적수(명)
MASTER_CLAS_TERM_EXCESS_CNT,석사수업연한초과수(명)
MASTER_ETC_CNT,석사기타수(명)
DR_SUM,박사합계(C)(명)
DR_NON_REGIST_CNT,박사미등록수(명)
DR_NON_GBSCHL_CNT,박사미복학수(명)
DR_LVSCHL_CNT,박사자퇴수(명)
DR_CLGRD_WARN_CNT,박사학사경고수(명)
DR_STDNT_ACT_CNT,박사학생활동수(명)
DR_FLK_EXPL_CNT,박사유급제적수(명)
DR_CLAS_TERM_EXCESS_CNT,박사수업연한초과수(명)
DR_ETC_CNT,박사기타수(명)
MDR_UNITY_SUM,석박사통합합계(D)(명)
MDR_UNITY_NON_REGIST_CNT,석박사통합미등록수(명)
MDR_UNITY_NON_GBSCHL_CNT,석박사통합미복학수(명)
MDR_UNITY_LVSCHL_CNT,석박사통합자퇴수(명)
MDR_UNITY_CLGRD_WARN_CNT,석박사통합학사경고수(명)
MDR_UNITY_STDNT_ACT_CNT,석박사통합학생활동수(명)
MDR_UNITY_FLK_EXPL_CNT,석박사통합유급제적수(명)
MDR_UNITY_CLAS_TERM_EXCESS_CNT,석박사통합수업연한초과수(명)
MDR_UNITY_ETC_CNT,석박사통합기타수(명)
TOTSUM,총계(E)(명)
HFWY_DROT_STDNT_RT,중도탈락학생비율(%)((E/A) × 100)(%)
