SIGUN_CD,SIGUN_NM,STD_YM,CARD_PUBLCT_CNT,CARD_CHRGNG_AMT,CARD_USE_AMT,MOBILE_GIFTCERTF_USER_CNT,MOBILE_CHRGNG_AMT,MOBILE_USE_AMT,BRNHSTRM_GIFTCERTF_SALE_AMT,BRNHSTRM_GIFTCERTF_RETRVL_AMT
41370,오산시,2019-07,1389.0,839823.0,625889.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2019-07,1860.0,1312669.0,1017916.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2019-07,1253.0,1029111.0,538060.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2019-07,1527.0,801086.0,523667.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2019-07,1250.0,855696.0,941521.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2019-07,893.0,346750.0,106925.0,0.0,0.0,0.0,154055.0,127365.0
41430,의왕시,2019-07,789.0,482500.0,211693.0,0.0,0.0,0.0,322825.0,366140.0
41830,양평군,2019-07,1257.0,1264227.0,1092636.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2019-07,763.0,470931.0,331964.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2019-07,590.0,344792.0,251182.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2019-07,389.0,207542.0,113448.0,0.0,0.0,0.0,54695.0,81375.0
41290,과천시,2019-07,580.0,361577.0,346299.0,0.0,0.0,0.0,205390.0,356830.0
41800,연천군,2019-07,734.0,363698.0,271917.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2019-08,6271.0,3339872.0,3305846.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2019-08,8535.0,6035427.0,4859241.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2019-08,3006.0,1065818.0,2049597.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2019-08,0.0,5447710.0,5798567.0,1982.0,486685.0,486472.0,1252875.0,1734080.0
41190,부천시,2019-08,7646.0,4297625.0,4496234.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2019-08,4019.0,2986215.0,3157737.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2019-08,2168.0,1190963.0,2201257.0,0.0,0.0,0.0,456875.0,552765.0
41360,남양주시,2019-08,1643.0,645594.0,1403210.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2019-08,849.0,227500.0,868315.0,0.0,0.0,0.0,783680.0,781295.0
41220,평택시,2019-08,231.0,49500.0,502052.0,0.0,0.0,0.0,1145665.0,564950.0
41390,시흥시,2019-08,0.0,0.0,0.0,4622.0,2384905.0,2533034.0,139049.0,255692.0
41480,파주시,2019-08,2174.0,600001.0,1221583.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2019-08,1939.0,990462.0,1285377.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2019-08,0.0,0.0,0.0,5346.0,2619344.0,3544684.0,0.0,0.0
41610,광주시,2019-08,1157.0,378842.0,656843.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2019-08,1256.0,628310.0,960015.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2019-08,1434.0,1112362.0,1874745.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2019-08,1036.0,924288.0,1503751.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2019-08,1011.0,410670.0,632283.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2019-08,1031.0,856207.0,1053207.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2019-08,975.0,549626.0,633027.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2019-08,610.0,195288.0,516560.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2019-08,1040.0,807575.0,911541.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2019-08,247.0,46250.0,220038.0,0.0,0.0,0.0,231175.0,129580.0
41430,의왕시,2019-08,202.0,60750.0,234507.0,0.0,0.0,0.0,745410.0,377800.0
41830,양평군,2019-08,887.0,1164071.0,1171115.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2019-08,419.0,236932.0,316517.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2019-08,262.0,102446.0,205038.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2019-08,272.0,100956.0,138322.0,0.0,0.0,0.0,65975.0,61785.0
41290,과천시,2019-08,444.0,242187.0,349798.0,0.0,0.0,0.0,220585.0,313650.0
41800,연천군,2019-08,766.0,346478.0,561089.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2019-09,4209.0,1372844.0,2397516.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2019-09,5421.0,6220822.0,4437004.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2019-09,4293.0,2851679.0,1866233.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2019-09,0.0,5669277.0,4431947.0,2531.0,516065.0,492525.0,1559980.0,1776470.0
41190,부천시,2019-09,6936.0,5983853.0,4436531.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2019-09,4032.0,4333736.0,3048618.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2019-09,3343.0,2494642.0,1871789.0,0.0,0.0,0.0,1838900.0,1006870.0
41360,남양주시,2019-09,2297.0,1644304.0,1233830.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2019-09,546.0,173000.0,441185.0,0.0,0.0,0.0,4143695.0,2466325.0
41220,평택시,2019-09,71.0,10250.0,187229.0,0.0,0.0,0.0,1921240.0,1398305.0
41390,시흥시,2019-09,0.0,0.0,0.0,4319.0,2752715.0,2561828.0,1863442.0,782841.0
41480,파주시,2019-09,2269.0,986988.0,899840.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2019-09,1747.0,1258233.0,1036494.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2019-09,0.0,0.0,0.0,9419.0,8132894.0,4742487.0,0.0,0.0
41610,광주시,2019-09,1279.0,720675.0,611891.0,0.0,0.0,0.0,0.0,0.0
41210,광명시,2019-09,1038.0,497664.0,701032.0,0.0,0.0,0.0,0.0,0.0
41410,군포시,2019-09,2810.0,3840776.0,2233807.0,0.0,0.0,0.0,0.0,0.0
41450,하남시,2019-09,3161.0,2798078.0,2010501.0,0.0,0.0,0.0,0.0,0.0
41370,오산시,2019-09,1953.0,1036998.0,715056.0,0.0,0.0,0.0,0.0,0.0
41630,양주시,2019-09,852.0,933524.0,918677.0,0.0,0.0,0.0,0.0,0.0
41500,이천시,2019-09,1390.0,539571.0,743569.0,0.0,0.0,0.0,0.0,0.0
41310,구리시,2019-09,1084.0,591082.0,429976.0,0.0,0.0,0.0,0.0,0.0
41550,안성시,2019-09,904.0,933084.0,876813.0,0.0,0.0,0.0,0.0,0.0
41650,포천시,2019-09,141.0,43250.0,95035.0,0.0,0.0,0.0,207925.0,182170.0
41430,의왕시,2019-09,113.0,30500.0,110004.0,0.0,0.0,0.0,1066595.0,780970.0
41830,양평군,2019-09,729.0,1235291.0,1170306.0,0.0,0.0,0.0,0.0,0.0
41670,여주시,2019-09,420.0,273927.0,278249.0,0.0,0.0,0.0,0.0,0.0
41250,동두천시,2019-09,421.0,250040.0,194088.0,0.0,0.0,0.0,0.0,0.0
41820,가평군,2019-09,428.0,233151.0,172358.0,0.0,0.0,0.0,159965.0,116495.0
41290,과천시,2019-09,1171.0,866317.0,468413.0,0.0,0.0,0.0,1209655.0,640725.0
41800,연천군,2019-09,624.0,395582.0,69717.0,0.0,0.0,0.0,0.0,0.0
41110,수원시,2019-10,7390.0,5550020.0,3240156.0,0.0,0.0,0.0,0.0,0.0
41280,고양시,2019-10,5024.0,4542746.0,4017911.0,0.0,0.0,0.0,0.0,0.0
41460,용인시,2019-10,4852.0,3541329.0,2475938.0,0.0,0.0,0.0,0.0,0.0
41130,성남시,2019-10,0.0,7422980.0,6070857.0,3123.0,1193970.0,860925.0,1539810.0,1605200.0
41190,부천시,2019-10,6530.0,4895479.0,4859638.0,0.0,0.0,0.0,0.0,0.0
41590,화성시,2019-10,3977.0,3227898.0,3274822.0,0.0,0.0,0.0,0.0,0.0
41270,안산시,2019-10,4505.0,3490030.0,2742298.0,0.0,0.0,0.0,598940.0,1085860.0
41360,남양주시,2019-10,4396.0,3434683.0,1922439.0,0.0,0.0,0.0,0.0,0.0
41170,안양시,2019-10,2318.0,1795750.0,723214.0,0.0,0.0,0.0,994875.0,1608860.0
41220,평택시,2019-10,1465.0,1181750.0,436006.0,0.0,0.0,0.0,362280.0,761645.0
41390,시흥시,2019-10,0.0,0.0,0.0,4032.0,4263010.0,3225878.0,1037987.0,928500.0
41480,파주시,2019-10,3192.0,2352711.0,1433996.0,0.0,0.0,0.0,0.0,0.0
41150,의정부시,2019-10,2374.0,1674171.0,1093002.0,0.0,0.0,0.0,0.0,0.0
41570,김포시,2019-10,0.0,0.0,0.0,4387.0,3819558.0,5453928.0,0.0,0.0
